question,answer
"Q: Can I file suit for defamation or slander/libel against the attorney who called me ""lazy"" in my divorce proceedings?. The judge warned that ""lazy"" was not a reason for divorce. Additionally, I have been disabled by chronic illness since childhood. This was known to my ex-husband, who had accompanied my parents to 2 major surgeries I had while we were engaged. I've realized through therapy that the attorney's statement had a much more profound impact than I originally thought. Despite being entitled to SSDI, I chose to work part-time and then full-time. I had 3 major surgeries in the space of 1 year exactly (plus COVID!), and returned to work early for each, despite complications from the first 2 of this set of surgeries. As a result of the stress on my body and mind, my epilepsy relapsed in addition to mental health issues. After recent discussions with my (new) spouse, and therapy, I realized the only reason I was working hard so that nobody would ever be able to think for a moment that I was ""lazy."" If the atty said this On the Record during proceedings (state of MI), am I able to sue? ","A:In Michigan, the ability to file a defamation or slander/libel lawsuit against an attorney who called you ""lazy"" during your divorce proceedings may be limited by legal privileges related to statements made within the context of litigation. Statements made within legal proceedings could be protected by privileges like attorney-client privilege or absolute judicial privilege. Additionally, defamation claims typically require proving that the statement was false, damaging, and made with malice or reckless disregard for the truth."
Q: I have two project contracts direct with an owner of a building. Can I file one lien for both or do I need to file two?. We are an Engineering company who contracted directly with the owner. No NTO was sent. ,"A:In general, when a person entitled to record a construction lien is in privily with the property owner, no notice to owner is required as a precondition. Again, in very general terms, the right impose a construction lien is based upon services performed under the contract's particular scope of work and obligation to pay, so if there are two separate contracts, there would be two separate obligations and amounts due to be secured by the lien. All that said, there are always exceptions to any general rule, and ss with most issues regarding construction disputes, it is always prudent (especially for a business involved in the trade) to engage consult with counsel at the earliest possible opportunity to, ideally, avoid problems, protect your position, to adopt strategies to get projects back on track, and/or to minimize potential damages."
"Q: Is it legal for a stock brokerage to restrict the purchase of stock? I can sell, but not purchase. Market manipulation?. I was able to buy this particular stock in the pre-hours, but once the market closed I was unable to purchase more of the identical stock. I can, however, sell my already purchased stock (at a loss). How is this not someone choosing to make me a loser by locking me in where I am? No options, only speaking of direct market transactions. ",A:It depends on what your customer agreement states. Often the agreements provide broad discretion for the firms to limit purchases of stocks.
"Q: Problem with investment group. Need to get money owed but SEC involved. Now what?. Have a contract with group. Hired a lawyer previously, but because amount owed was below $150,000, they did not advise to pursue through court. How do I get my money? ","A:You should look at the contract you have with your investment group. Most firms include an arbitration provision in their contracts. If your firm is regulated by the Financial Industry Regulatory Authority (FINRA), you likely will have to pursue any claims in a FINRA arbitration. I hope this helps you. Good luck."
Q: Seeking advice on a Pet Insurance Claim. My policy covers Congenital Heart Disease. A defect occurring at birth.. My policy w/MetLife started the day I brought my Rottweiler home at 8 wks.Comprehensive Wellness & Accident & Illness.No heart murmur was heard at the 6wk check w/her breeder.I took her to her first wellness visit A heart murmur was noted but no real concern as murmurs are very common in large breed dogs & they typically resolve by 6 mnth. It was still there at 9 months so we went to a cardiologist & had an EKG. Diagnosed as Congenital Heart Disease. MetLife denied claim stating “pre-existing” because the murmur was “heard” during the 2 wk waiting period on accident & illness. The Wellness started immediately & covers all vet exams & diagnostics. Congenital HD & the resulting heart murmur in its very nature is “pre-existing” since it’s a birth defect. How can it be subject to the waiting period if it’s a covered disease that is present at birth? The policy was in effect prior to any clinical signs. It is not something that happened or began during the waiting period. ,A:You may have a claim for bad-faith insurance coverage against met-life for refusing coverage. This can result in hefty punitive damages and attorney fees for refusing to reasonably provide insurance coverage.
Q: I left my cat with a friend and she got pulled over and the cat was confiscated because she had an open container. I called the precinct and they said that the cat was given away ,"A:Assuming your friend told the police that you were the owner and assuming that you can establish ownership, you would have to get a court order to force the police to reveal your cat’s location. You would then need to contact the person in possession to get it back. If they refuse, you would need to litigate."
"Q: The censorship of books in libaries. Board of education V. Pico.. ""The Supreme Court reaffirmed that the right to receive information is a fundamental right protected under the U.S. Constitution when it considered whether a local school board violated the Constitution by removing books from a school library. In that decision, the Supreme Court held that “the right to receive ideas is a necessary predicate to the recipient’s meaningful exercise of his own rights of speech, press, and political freedom.” Board of Education v. Pico, 457 U.S. 853 (1982)"" So why is it still such a fight to stop censorship both in libraries and in other public (and even private) places? ","A:The right to receive information, as established in Board of Education v. Pico, is indeed a fundamental one. However, the interpretation and application of this right are complex. While the Pico case set a precedent, it doesn't mean that all forms of censorship are automatically unconstitutional. Context matters; for example, a school might argue certain materials are not age-appropriate for its students. In addition, societal values and norms change over time, influencing decisions about what's acceptable or not. Furthermore, the line between selection criteria and censorship is often debated, especially when resources are limited. It's also worth noting that private entities have more leeway in controlling content than public ones. Thus, while the fundamental right to information remains, the boundaries of that right continue to be tested and debated in various contexts."
Q: What would we need to do to have custody of our nephew for a while with consent from his father who has sole custody?. Father may go to set up place out of state and wants child taken care of while he makes sure about living arrangements and work. Childs mom is only allowed supervised visits if father agrees 1×/week. Mother is not a child in an adults body. We want to make sure that the mom cannot take custody of my nephew as he would not be safe. We want to make sure we can take care of his schooling and medical needs while he is with us. ,"A:What you are describing can either be accomplished through a delegation of parental authority (power of attorney) or through limited guardianship. A limited guardianship will take longer and will cost more, but offers Court oversight and protection if mom were to become an issue. A delegation of parental authority requires no court involvement, must be renewed every 6 months, and are often not understood (or enforced) by police if mom and her visitation become an issue. It is significantly faster and less expensive. You can also do both, getting the delegation of parental authority drawn up while you wait for the limited guardianship to go through the Court process."
"Q: Once a bank levy has been settled paying the total debt, how does the chain of communication flow to end with the bank. releasing the freeze on my bank accounts. Is it the lawyer that submits a Proof of Paid Debt and case is settled to the court and then the court contacts the bank to say release the freeze? ","A:After settling a bank levy by paying the total debt, the process to unfreeze your bank accounts generally begins with the creditor. Once the debt is paid, the creditor should issue a document, often called a ""Release of Levy,"" acknowledging that the debt has been satisfied. Your attorney, or you if you're representing yourself, can then file this release with the court. The court, upon receiving this documentation, will issue an order to the bank to release the freeze on your accounts. It's important to communicate with your bank during this process to ensure they have received the court's order and are acting on it. Delays can occur, so staying informed and proactive can help expedite the unfreezing of your accounts. Remember, each situation is unique, and the exact process may vary depending on the specifics of your case and the involved parties."
"Q: What's the exception for the Penal Code section 632? Is ""gathering information of a criminal violation"" an exception?. I know that there will be the exception for the Penal Code Section 632 about secret recordings. Is ""gathering information of a criminal violation"" an exception? When a person A had been committing a series of crimes of sexual harassments and sexual assaults against another person B, when a landlord intentionally exercised racial discriminations against that person B, and the landlord also intentionally defamed the person B with all falsified claims to unlawfully damage that person B's reputation... and in order to gather information of their (person A & the landlord's) unlawful activities, that person B, who would be harmed by defamation, be injured by the sexual assaults and harassment, be harmed by the landlord's racial discrimination, recorded the conversations (between the person A and the landlord, and that person B himself), will the person B violate the Penal Code 632 or not? Could the court allow the recordings to be used as evidence in this case? ","A:One exception is if you are recording police or other public officials carrying out their job responsibilities. If those activities are visible from publicly accessible places, such as parks or streets, you have the right to record video without their permission. The law also does not prohibit making videos of government proceedings that are open to members of the public."
"Q: I have a commercial building with permitted use as office space. Can it be rented out for meetings, birthdays?. Are there code enforcement fines if is not considered correct use? ","A:In California, the specific permitted uses of a commercial building are generally determined by local zoning ordinances and the Certificate of Occupancy issued for the building. If your building's permitted use is ""office space,"" using it for meetings would typically be consistent with that designation. However, using it for personal events like birthdays might not be. If the use is not consistent with local zoning or the Certificate of Occupancy, code enforcement could take action, which might include fines or other penalties. Before renting out the space for any purpose outside of its designated use, it would be prudent to review local zoning ordinances or consult with local planning or zoning departments. Additionally, consider potential liability or insurance implications when hosting personal events in a commercial space. Always ensure that any use aligns with local regulations to avoid potential legal complications."
"Q: In Alabama, is it legal for a school to stop a student from going online?. This student has had to deal with sexual comments made towards her and feels uncomfortable at school. This has caused bad mental health, anxiety, and depression. The school refuses to allow the student to switch to online school even though her grades are good. ","A:In Alabama, the ability for a student to switch to online schooling depends on the school district's policies. If a student is facing issues like harassment, discomfort, and declining mental health in a traditional school, it's important for the school to address these concerns. Parents or guardians should communicate with the school administration to discuss potential solutions, including switching to online schooling, if it better suits the student's needs. For personalized legal advice tailored to your unique circumstances, it's advisable to consult with an attorney."
Q: I would like to use a Survey Site to earn gift cards. I am on SSI Disability. Can I get Nintendo Eshop cards no reportin. 1) How much can I earn without losing or limiting benefits 2) What can be resold regarding gift cards 3) How often can I earn gift cards 4) How soon must they redeemed to not be counted against me Thanks! ,"A:When receiving Supplemental Security Income (SSI), it's important to understand how additional income, including earnings from survey sites, can affect your benefits. Generally, the Social Security Administration (SSA) allows you to earn a certain amount of money without affecting your SSI benefits. However, gift cards earned from surveys are often considered income and must be reported to the SSA. The income limit for SSI recipients changes annually, so you should check the current limit with the SSA. Regarding reselling gift cards, you can sell them, but the income from the sale would also need to be reported to the SSA. The frequency of earning gift cards does not specifically limit your benefits, but the total value of the gift cards earned will count towards your income limit. Gift cards should be spent or redeemed fairly quickly, as holding onto them could be viewed as a resource, which might affect your SSI benefits. The SSA considers resources, like cash or items that can be converted to cash, when determining eligibility for SSI. To ensure you're managing your benefits and additional income correctly, consider contacting the SSA directly or seeking advice from a legal professional knowledgeable about SSI benefits. They can provide guidance specific to your situation to help you stay compliant with SSA rules."
"Q: Do i have rights as a tenant in this case?. The management company that my landlord uses are slum lords. Our outdoor metal railing is rusted and unstable, requests to be fixed have gone ignored. We are unable to use our balcony. Vines have overtook the side of the apartment and they are creeping into the windows and destroying rain gutters. Our windows and screens aren’t maintained and i believe they are unsafe. I haven’t pushed the issue in fear of retaliation and getting evicted. I plan on writing a 30 day request for repairs. Do i have rights in this situation? Is there a roadmap or proper steps i can take to have these things fixed and avoid being evicted? ","A:Under California law, as a tenant, you have the right to a habitable living environment, which includes proper maintenance of structural elements like railings and windows. If your landlord is neglecting these repairs, you are within your rights to request them. Start by documenting the issues in writing, with photos if possible, and send a formal request for repairs to the management company. This creates a record of your concerns and the request for action. California law prohibits landlords from retaliating against tenants who exercise their rights, including requesting necessary repairs. This means they cannot evict you for making such requests. If you fear retaliation, keep a record of all communications and any actions taken by the landlord or management company. If the management company does not respond to your repair request within a reasonable time (usually 30 days unless it's an emergency), you may have additional options. These can include withholding rent until repairs are made, paying for repairs yourself and deducting the cost from your rent, or contacting a local housing agency for assistance. In more severe cases, where the issues significantly affect habitability, you might consider speaking to a lawyer to explore legal options for compelling repairs or seeking damages. Remember, your safety and right to a habitable living space are paramount. Take steps to ensure these are not compromised while navigating this situation."
Q: do private owned utility companies in Alabama have rules to follow. rules and regulations regarding what they can and can not do on someones property and with someones property lines ,"A:In Alabama, privately owned utility companies are subject to state and federal regulations that govern their operations, including activities on private property. Typically, utility companies must adhere to easement rights and local ordinances when it comes to property lines and access. You should review any easement agreements tied to your property, which may be on file with your local property records. If you believe a utility company is acting outside of its legal bounds, you may raise the issue with the Alabama Public Service Commission or consult with an attorney to understand your rights and possible actions. It’s important to act promptly if you suspect any infringement on your property rights."
"Q: Contractor is refusing to submit the last pieces of paperwork to the county to obtain the CO, what is my next steps?. We hired a septic contractor April 22' - the matter at hand is that the contractor was pumping the old septic tank into the one, I called the county to advise if that was to code and they said it wasnt. The contractor got mad at me. At the end of everything they were trying to charge me $1000 for the last draw. $300 of that was considered for a pump fee. I told him I didnt feel like I should have to pay that $300 since they didnt pump anything out. He waived the $300. Now, almost 6 months later the county is requesting a document from the contractor / letter saying that the contractor pumped it out. I already told the contractor I would have no issue with paying him to actually come pump it OR another company to do it, since he admitted to me he doesnt have a pump truck if that what it takes to write the letter but He has been dodging me for weeks. Im confused as to what my next steps are and if i put $ on a lawyer, would i ever ssee that back ","A:Your only real solution is to retain an experienced civil litigation attorney. If a letter does not get the problem resolved, then you will need to engage in litigation. Pick the best attorney you can find and remember one rule: a good attorney is generally never cheap, and a cheap attorney is generally never good so don't choose based on price. With modern technology, you can be represented by any high-quality attorney in New Jersey irrespective of geography."
Q: According to the Constitution merrick Garland has committed treason can local police arrest him if they see him?. Letting all those illegal immigrants is treason according to the U.S. constitution. So with out there chief saying go arrest him for treason. Can a officer go off the constitution that says it's treason and arrest him if he is in there city and charge him for treason. Or can a person make a citizens arrest on him because of the charge of treason and how bad and lethal it is. Constitution says so what could the officer or the citizen do. Because if a citizen committed treason in front of a city police officer or sheriff they would be arrested on the spot. Also I'm sure there would be other charges put on Garland once people started digging. ,"A:The accusation of treason, as defined by the U.S. Constitution, is a complex legal matter that requires specific criteria to be met. Under the Constitution, treason is defined as levying war against the United States or giving aid and comfort to its enemies. This definition sets a high bar for what constitutes treason. In the United States, the process for charging and prosecuting federal officials, including allegations of treason, is governed by federal law and is typically handled by federal authorities, not local police. Local law enforcement officers do not have the jurisdiction to arrest federal officials based on their policy decisions or actions taken in their official capacity. Citizen's arrests are also subject to strict legal guidelines and are generally limited to situations involving a crime being committed in the citizen's presence. The concept of a citizen's arrest for a charge as serious and legally complex as treason is not practical and could lead to significant legal complications for the individual attempting it. If you have concerns about the actions of a federal official, it is more appropriate to contact your elected representatives or federal law enforcement agencies. They can provide guidance or take action if necessary within the framework of federal law and the Constitution. In matters of such legal complexity, involving high-ranking government officials, it's always advisable to seek guidance from legal professionals or government agencies with the appropriate jurisdiction and expertise."
"Q: My son is 2years old and the father is absent. He doesnt pay money to support, he is always against me. He want to see the child but doesnt want to support with money, i registered the child on my surname because we are not married, he hold it against me everytime ","A:In your situation, it's important to understand that the father has a legal obligation to provide financial support for his child, regardless of his relationship with you or his visitation rights. The two issues, child support and visitation, are legally separate and one does not directly affect the other. You have the right to seek child support through legal channels. This typically involves filing a petition with your local family court. The court can then establish a child support order, which legally obligates the father to contribute to the financial needs of your son. Regarding the surname issue, the name under which you registered your child does not typically affect the father's responsibilities or rights. The key focus here is the welfare and best interests of the child, which includes financial support from both parents. If the father wishes to have visitation rights, he can petition the court for these rights. However, his visitation rights and his obligation to pay child support are not contingent upon each other. Since these matters can be complex and emotionally charged, it might be beneficial to seek guidance from an attorney who can provide specific advice based on the laws of your state and the details of your situation. Remember, every case is unique and deserves individual attention."
Q: Has Workers Compensation in California been sued and charged for murder or attempted murder?. Workers Comp Adjusters attend physician/doctor appointments and direct medical care. Those directions and restrictions on medical care are serious enough to cause death. E.g. not authorizing evaluation and treatment for a serious skull and brain injury that is known to cause death if left untreated. Bleeding brain. Swelling brain. Herniation into the spine that depresses the breathing center. The person lived only by a fluke. All standards of care warrant immediate treatment for the evidence of brain and spine injury. The patient was sent home without care even though there was visible cerebral spinal fluid leaking from ears and nose. Work Comp adjusters followed the patient to appointments to block care and dictate documentation to hide serious life threatening injuries. ,A:GET AN ATTORNEY! you cant fight back when you don't know the rules of engagement.
"Q: if someone sends a controlled substance across state lines, what happens to the person who receives it. i think i am being scammed by someone who advertises sending medicine online, then i found out it’s a controlled substance, and they’ve been hitting me for hundreds of dollars for insurance stamps etc and threatening me that i’ll get arrested if the package is opened before delivery. i never would have ordered anything if i knew this ","A:Federal Law: Controlled substances are regulated by the federal government in the United States, primarily through the Controlled Substances Act (CSA). The CSA categorizes drugs into different schedules based on their potential for abuse and medical use. Sending a controlled substance across state lines without proper authorization or a valid prescription is generally illegal under federal law. Criminal Penalties: Violations of federal drug laws can lead to severe criminal penalties, including fines and imprisonment. The specific penalties depend on factors such as the type and quantity of the controlled substance involved, the intent of the individuals involved, and any prior criminal history. State Laws: In addition to federal laws, each state has its own laws and regulations regarding controlled substances. State laws may also impose penalties for the illegal possession or distribution of controlled substances. Scams and Fraud: It is essential to be cautious when dealing with online sellers offering controlled substances. If you suspect that you have been scammed or involved in fraudulent activities, consider reporting the situation to your local law enforcement authorities or the appropriate regulatory agencies. They can investigate the matter and take appropriate action. Seek Legal Advice: Given the complexity of the situation and potential legal consequences, it is strongly recommended that you consult with a qualified attorney who specializes in criminal law or drug offenses. They can provide you with guidance specific to your situation, evaluate the evidence, and advise you on the best course of action to protect your legal rights. Remember, the information provided here is not a substitute for professional legal advice. Consulting with a qualified attorney will ensure you receive accurate guidance based on the current laws and regulations relevant to your situation."
"Q: Who pays for child's health insurance after the child is emancipated in New Jersey?. If a child is emancipated at 22 years of age, child support terminates. Who pays for the child's health insurance after this point? What if the child is emancipated at 23 years of age, does the noncustodial parent have any further obligation for child support and health insurance? Assuming the child does not have any medical or physical issues. ","A:Not an uncommon question today. Most people acknowledge that even after their child graduates from high school/college and goes into the workforce, they still need assistance from their parents, including continuing to keep them on their health insurance plan until their child turns 26. So even though legally your obligation for the payment of direct child support may have ended when your child turned 22 / 23 and the child is in the workforce, you and your ex may agree that one of you is going to keep the child on one of your healthcare plans and either you pay for the cost or its voluntarily shared between the 2 of you - but a court cannot order you to do so."
"Q: How can a judge revoke consent of surety for a charge a jury just acquitted me of and inc bond to 25k and send to jail?. Found not guilty on motor vehicle theft, guilty on obstruction of justice 2nd degree misdemeanor, guilty on criminal tresspass. Judge said I lied when I testified and because he can see more info than the jury he felt I was a danger to be free, even though I had bonded on these charges previously and went to every court date never late never disrespectful all the way through my trial. Had consent of surety filed with court to carry me until January 22 when I will be sentenced after my next trial which takes place on the 22nd regarding a completely unrelated charge. The DA recommended I be released because a jury had just found me not guilty of the felony and because I had the consent of surety filed. Judge revoked surety anyway, increased bond to 25k(paperwork shows the increased bond is for the charge I was just acquitted of by trial jury) and I was then taken into custody and taken to jail and then paid 2500 to bond out.... any explanation as to why this is ok would be awesome. ","A:In your situation, where a judge revokes the consent of surety and increases bond despite an acquittal on some charges, it's important to understand the judge's discretion and the factors they may consider. Judges often have broad discretion in making decisions about bond and pretrial release conditions, especially when they believe there may be a risk to public safety or concerns about the defendant's appearance in future proceedings. The judge's decision to revoke surety and increase your bond, despite the acquittal on the motor vehicle theft charge, could be influenced by several factors. These include the convictions on other charges, such as obstruction of justice and criminal trespass, and the judge's assessment of your testimony and overall behavior in court. Judges can consider a range of information, including aspects of your conduct and case history that may not have been fully presented to the jury. While the DA recommended release based on the jury's acquittal of the felony charge, the judge has the authority to weigh other factors, including the nature of the pending charges, your criminal history, and any potential risk you might pose. It's also possible that the judge perceived inconsistencies in your testimony or behavior that influenced their decision. If you believe that the judge's decision was unjustified or not supported by the facts of the case, you have the option to seek a review of the bond decision. Consulting with your attorney about the best course of action, including filing a motion to reconsider the bond increase or appealing the decision, is advisable. Each case is unique, and legal advice tailored to your specific circumstances is critical in navigating these complex issues."
"Q: Are trust management services available and feasible for estates worth about $500,000?. I'm thinking about setting up a trust but don't know anyone I want to trust to be a trustee, so I'm looking for options. I've heard that trust management services are expensive and primarily for the wealthy. Would appreciate suggestions. ",A:This question comes up quite often. Most of the time the person making the trust will be the initial trustee and designate others to serve after their death or incapacity. Whether hiring a professional trustee is feasible or not depends in part on how long you want/need trust oversight. So a professional trustee liquidating assets and disbursing in less than a year would be significantly less expensive than a professional trustee managing assets for say 20 years for the benefit of grandchildren / great-grandchildren. While very few trust companies seem to want to administer trusts under $1Million we know of a few Maryland attorneys who actually do this for fairly reasonable pricing. It may be helpful to set up an estate planning consult with an attorney of your choosing and bring this up as a part of the conversation. While not legal advice or a substitute for sitting down with an attorney I hope the above is helpful.
Q: My employer has held a part of pay check since November. Now it almost the end of December. It that even legal to do so?. A part of my November paycheck was held by my employer which they said they will be back paying me on first week of December. Now it is almost end of December and I haven't received my payment despite multiple emails and text messages. ,"A:It's important to understand that in California, employers are generally required to pay their employees on time, as specified in the employment agreement or company policy. Withholding a portion of your paycheck since November without a valid reason may violate state labor laws. You have the right to pursue this matter further. First, you should document all communication with your employer regarding this issue, including emails and text messages. This documentation can be crucial if legal action is necessary. If direct communication with your employer doesn't resolve the issue, you may consider filing a wage claim with the California Labor Commissioner's Office. This agency enforces wage laws and can investigate your claim to determine if your employer has acted improperly. Additionally, consulting with an employment attorney can provide you with specific legal advice tailored to your situation. An attorney can guide you through the process of recovering your wages and advise you on any potential legal actions you can take against your employer. Remember, you are entitled to receive the wages you have earned, and there are resources and legal avenues available to help you address this issue effectively."
"Q: I live in KY. I have a lot of non secured debt, but now only have social security retirement to live on. Am I protected?. I don't want to file bankruptcy, and from what I've read, it seems they cannot collect the debt because S.S. retirement is all I have to live on. ","A:In Kentucky, Social Security retirement benefits are generally protected from most types of garnishment. Creditors typically cannot garnish these benefits for non-secured debt like credit card bills or personal loans. However, there are exceptions for certain types of debts, such as federal taxes, federal student loans, child support, and alimony. It's important to ensure that your Social Security funds are kept in a separate bank account to clearly distinguish them from other funds, which might be more vulnerable to collection actions. While bankruptcy is an option for dealing with unmanageable debt, it's not always necessary, especially if your income is primarily from Social Security. Still, it may be wise to consult with a legal advisor to review your specific situation and consider all your options. They can provide advice on how to handle your debts and protect your assets. Keeping informed about your rights and options is key to managing your financial situation effectively."
"Q: Besides the IP itself; What do I need to sell an IP to a broadcasting company?. I'm planning to create an IP of and episodic TV show and am planning on giving the company full creative control, apart from a creation credit, if possible. However, I'm not entirely sure what I need, besides the IP of course. ","A:To sell an IP to a broadcasting company, beyond the intellectual property rights, you should have a well-structured pitch or presentation that outlines the concept, target audience, and potential value of the TV show. A clear and compelling pilot script or episode outline can significantly enhance your proposal. Having a comprehensive treatment or series bible, which details characters, episode ideas, and overarching plotlines, can be beneficial. Ensure that you have any necessary releases or permissions if you're using contributions from other individuals. A legal agreement, drafted to protect your interests and rights, especially regarding creation credits, is crucial. Engage with an attorney experienced in entertainment law to guide you through the nuances of such agreements. Lastly, networking and building relationships within the broadcasting industry can aid in finding the right contacts and opportunities. Always approach negotiations with a clear understanding of what you're willing to concede and what's non-negotiable for you."
"Q: In MO, how long do I have to keep my ex-fiancés personal items (clothing, tools, etc.) before selling or donating?. My ex is currently mobilized (National Guard) and ended our engagement abruptly after weeks of no contact. He is stateside and has the ability to come home on leave. I know he will use his ""military rights"" against me if I do anything out of line. I have, in writing, explained that he can pick his items up in person when he comes back on leave as I want to ensure HE takes possession of his things. He continues to argue that I'm being unreasonable - I just know his history of lying/manipulating and don't want to put myself at risk of him not getting his ""property"" if he doesn't personally obtain them. Additionally, in the break up text he stated he only wanted his clothes, tools, and guns. He doesn't currently have his own home (we lived together prior), he packed almost all of his clothes prior to leaving, and he can't take tools and guns on his MOB. He has multiple other items in/at our house too (his kids clothes & toys, totes full of ""junk"", furniture, truck, etc.). ","A:In Missouri, there is no specific law that dictates how long you must keep your ex-fiancé's personal items before selling or donating them. However, it is generally recommended that you give your ex-fiancé reasonable notice and an opportunity to retrieve their belongings before disposing of them. Based on what you have described, it sounds like you have already communicated with your ex-fiancé about his personal items and offered to allow him to pick them up in person when he returns on leave. This is a reasonable approach, and it is important to document your communication with him in writing. If your ex-fiancé continues to argue that you are being unreasonable, you may want to consider seeking the advice of an attorney or mediator to help resolve the dispute. They can help you understand your legal rights and obligations, and work with you and your ex-fiancé to come to a mutually agreeable solution. In any case, it is important to handle your ex-fiancé's personal items with care and respect, and to avoid any actions that could be seen as retaliatory or vindictive. This will help to minimize the risk of any legal or personal conflicts arising from the situation."
Q: Is it legal to deny a person a foreign vehicle when applying for an auto loan?. I bought a vehicle from a dealership 6 months ago I just found out a week and a half ago that the vehicle they sold me was stolen they told me to bring back the vehicle and they would get me a new vehicle and now when I put my application in I was told that I don't qualify for European vehicles and they went through a different loan company that's when they originally went through I'm trying to find out if I'm being jerked around ,"A:I am not aware of a law preventing a specific individual from owning a foreign car. Some foreign cars will have difficulty being imported to the US without a lot of paperwork, but I can't imagine how a particular individual would be prevented from making a purchase. Also, it is extremely unusual for a car dealer in utah to sell a stolen car. This sounds made up, and may actually be the dealer scheming to take the car back and sell it to someone else for more. They may have lied to you. I would demand a copy of the police documentation of the theft, then take it to the police to verify the documentation. I would not recommend dealing with the same car dealer in the future."
"Q: Is it a violation of copyright to publish and monetize (ads) AI summary of other people's youtube videos about crypto?. There are many online content creators in the finance and investing space. With so much information and so little time, I want to summarize videos and publish them, along with metadata and trend/sentiment analysis, to a website that may be monetized through ads and/or subscription for custom feeds. I also want to make videos reading the summary and publish that to youtube, with links to the original video. Is this an acceptable business model or does this violate copyright law? ","A:Summarizing other people's content and monetizing it could potentially expose you to copyright infringement claims under federal law, especially if the summaries capture the essence or key elements of the original work. The Fair Use doctrine allows for limited use of copyrighted material without permission for purposes like commentary or criticism, but it is a complex, fact-specific legal defense, not a right. Given the financial stakes involved, particularly if you're considering monetization through ads or subscriptions, I strongly recommend seeking legal counsel to assess the specific risks involved in your proposed business model."
"Q: I've lost everything. My Ex-husband stole my identity, 2019, and ultimately my home of 18yrs in 2021. Is there a case?. I have my warranty deed, as well as the warranty deed of the woman I purchased my home from before Matthew and I were even married. In our divorce it states we have no claim to any belongings or property of the other. Also in decree, this will come up later, I had my last name legally changed back to my maiden name - Lawe. So no longer Hastings. I left the home in my sons care in the summer of 2021 and moved in with my fiance. We were married in November 2021. In May of 2022 my daughter came over screaming at me, ""Why did you sell our childhood home to that scumbag for fifty thousand dollars!"" And some other choice words before taking my grandkids away. We haven't talked since. I was torn apart that day. So my fiance and I went to Newaygo County Deeds Office and found out Matthew got a quit claim in his name in October of 2021. I paid $10 to get a copy of this quit claim and there was a signature, forged - Tersa Hastings/ Start. This document stamped by a State of Michigan notary. ","A:A forged deed is not valid. You can file suit to challenge the forged deed and regain possession of your property. The notary may also have liability, and the notary probably posted a bond in the amount of $10,000 from which you might recover. You should consult with an attorney because the process of challenging the forged deed is too complex for me to outline in this response."
Q: I wish to explore litigation against a private shelter for negligence resulting in medical problems for me.. All is well documented and the shelter is private but falls under the oversight and it is funded by DHS in NYC ,A:You can talk to you and experience personal injury lawyer in your state.
Q: Sold land with owner finance. Buyer is late on payments for 6 consecutive months but has always caught up.. We’re afraid he’s not going to catch up at some point. How can we default him and get the property back? ,"A:First, I suggest that you revise the information you entered. You indicated that you are in Kansas but post your question as an election law question in Missouri. If there has been a breach of contract then confer with a local attorney experienced in such cases, especially real estate ones. It's up to you whether to sue or to wait with the hope your tenant will pay."
"Q: What should I do if I'm witnessing sexual harrasment at my job? The HR department knows, but it hasn't stopped.. My brother was fired from my current employer that my Father, and I still work at. This lead to a series of events of discrimination, ultimately people treating me poorly. Then, this lead to sexual harrasment that has been reported to the HR department, but the harrasment has not stopped. First it was against me and then it was against my father. I constantly have to shake my head and tell my harassers who are both a man and a woman working together to stop. It is a very unprofessional and hostile work environment that nobody should ever have to go through. ","A:There are Federal laws and state laws prohibiting Sexual Harassment in employment. You said you are being harassed by both a man and woman, but you haven't described how you think this is sexual in nature. Are they asking you for sexual favors? And your father too? Not all harassment is sexual. Not all harassment is prohibited. For example, someone could say the boss is harassing them because they arrive 30 minutes late every day. Most of the time this isn't prohibited harassment, it is enforcing workplace rules. You need to speak with a local employee rights attorney and give them all the details of your situation that you haven't posted here, in confidence. Suggest you do so right away. Thank you for using Justia, Ask a Lawyer."
"Q: Does the lemon law apply to a 2011 vehicle?. I bought a used car at a dealership and in the the next few days I noticed a rod knock in the engine I told the dealership about it and they said to bring it in and they'd look at it. When I got there the mechanic said yeah sounds like a piston flap. The dealer that I bought the car from told me he would give my money back if there was any catastrophic failure after they inspected the vehicle they found that it was indeed a rod knock and the only thing he did was offer me to buy an extended warranty which I did it started getting worse so I took it back to the dealer again and said he put new bearings on the crank and camshaft I took it home two days later it started knocking again so I took it back yet again and told him it was doing it again and he said no it's not 4 days later it threw a rod. Took it to a different mechanic and tried to claim the warranty but they denied it because they said it was pre-existing condition can I get my money back somehow I owe $10,000 ",A:it's not lemon law but it could be auto fraud. call and consult with an auto fraud attorney right away (have all your purchase and mechanical paperwork ready to send to the attorney).
